pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,pl_pubdate,releasedate
Kepler-296 e,34.14189,0.0002635,-0.0002635,0,0.1492,,,0,1.08,0.18,-0.17,0,0.096,0.016,-0.015,0,,,,,,,,,0,,,0,0.84,0.39,-0.29,0,244,,,0,,3517,70,-57,0,0.37,0.06,-0.06,0,0.38,0.06,-0.06,0,-0.07,0.11,-0.11,0,4.88,0.1,-0.1,0,,,,18-12-2014,21-11-2014
Kepler-296 e,34.14189,0.0002635,-0.0002635,0,0.1492,,,0,1.08,0.18,-0.17,0,0.096,0.016,-0.015,0,,,,,,,,,0,,,0,0.84,0.39,-0.29,0,244,,,0,,3517,70,-57,0,0.37,0.06,-0.06,0,0.38,0.06,-0.06,0,-0.07,0.11,-0.11,0,4.88,0.1,-0.1,0,,,,24-09-2015,25-08-2015
Kepler-296 e,34.14189,0.0002635,-0.0002635,0,0.1492,,,0,1.08,0.18,-0.17,0,0.096,0.016,-0.015,0,,,,,,,,,0,,,0,0.84,0.39,-0.29,0,244,,,0,,3517,70,-57,0,0.37,0.06,-0.06,0,0.38,0.06,-0.06,0,-0.07,0.11,-0.11,0,4.88,0.1,-0.1,0,,,,04-12-2014,18-11-2014
TOI-700 d,37.42368383,0.00014946,-0.00014946,0,,,,,1.33,0.122,-0.122,0,0.119,0.011,-0.011,0,,,,,,,,,,,,,0.88,,,0,247,,,0,,3482,,,0,0.42,0.01,-0.01,0,,,,,,,,,4.44,,,0,31.1265,0.0206,-0.0206,2017-07,16-02-2024
Kepler-296 e,34.1420506,0.0002289,-0.0002289,0,0.151,,,0,1.06,0.13,-0.16,0,0.095,0.012,-0.014,0,,,,,,,,,0,,,0,0.89,0.33,-0.3,0,248,,,0,,3526,71,-78,0,0.38,0.05,-0.06,0,0.39,0.06,-0.07,0,-0.08,0.15,-0.15,0,4.87,0.07,-0.04,0,,,,31-08-2017 00:00,08-05-2017
Kepler-1410 b,60.866168,0.0005161,-0.0005161,0,0.247,,,0,1.56,0.15,-0.15,0,0.139,0.013,-0.013,0,,,,,,,,,0,,,0,0.93,0.25,-0.21,0,251,,,0,,3903,50,-60,0,0.52,0.05,-0.05,0,0.54,0.05,-0.05,0,-0.2,0.1,-0.1,0,4.74,0.06,-0.06,0,,,,24-09-2015,25-08-2015
Kepler-1410 b,60.866168,0.0005161,-0.0005161,0,0.247,,,0,1.56,0.15,-0.15,0,0.139,0.013,-0.013,0,,,,,,,,,0,,,0,0.93,0.25,-0.21,0,251,,,0,,3903,50,-60,0,0.52,0.05,-0.05,0,0.54,0.05,-0.05,0,-0.2,0.1,-0.1,0,4.74,0.06,-0.06,0,,,,04-12-2014,18-11-2014
Kepler-1410 b,60.866168,0.0005161,-0.0005161,0,0.247,,,0,1.56,0.15,-0.15,0,0.139,0.013,-0.013,0,,,,,,,,,0,,,0,0.93,0.25,-0.21,0,251,,,0,,3903,50,-60,0,0.52,0.05,-0.05,0,0.54,0.05,-0.05,0,-0.2,0.1,-0.1,0,4.74,0.06,-0.06,0,,,,18-12-2014,21-11-2014
TRAPPIST-1 e,6.099615,0.000011,-0.000011,0,0.02817,0.00083,-0.00087,0,0.918,0.039,-0.039,0,0.082,0.003,-0.003,0,0.62,0.58,-0.58,0,0.00195,0.00182,-0.00182,0,0.085,,,1,0.66,0.05,-0.05,0,251,5,-5,0,,2559,50,-50,0,0.12,0,0,0,0.08,0.01,-0.01,0,0.04,0.08,-0.08,0,,,,,,,,2017-02,22-02-2017
Kepler-62 e,122.38742,0.00077,-0.00077,0,0.417,,,0,1.54,0.07,-0.07,0,0.137,0.006,-0.006,0,,,,,,,,,0,,,0,,,,0,255,,,0,,4807,50,-50,0,0.6,0.02,-0.02,0,0.65,0.02,-0.02,0,,,,0,4.69,0.1,-0.1,0,300.874,1.219,-1.219,08-01-2014,28-10-2013
Kepler-1544 b,168.811174,0.001271,-0.001271,0,0.54,,,0,1.83,4.73,-0.17,0,0.163,0.422,-0.015,0,,,,,,,,,0,,,0,1.02,13.7,-0.25,0,256,,,0,,4893,141,-110,0,0.76,1.97,-0.07,0,0.73,0.28,-0.06,0,-0.04,0.28,-0.24,0,4.54,0.06,-0.98,0,335.09,1.666,-1.65,24-09-2015,25-08-2015
Kepler-1544 b,168.811174,0.001271,-0.001271,0,0.54,,,0,1.83,4.73,-0.17,0,0.163,0.422,-0.015,0,,,,,,,,,0,,,0,1.02,13.7,-0.25,0,256,,,0,,4893,141,-110,0,0.76,1.97,-0.07,0,0.73,0.28,-0.06,0,-0.04,0.28,-0.24,0,4.54,0.06,-0.98,0,335.09,1.666,-1.65,04-12-2014,18-11-2014
Kepler-1544 b,168.811174,0.001271,-0.001271,0,0.54,,,0,1.83,4.73,-0.17,0,0.163,0.422,-0.015,0,,,,,,,,,0,,,0,1.02,13.7,-0.25,0,256,,,0,,4893,141,-110,0,0.76,1.97,-0.07,0,0.73,0.28,-0.06,0,-0.04,0.28,-0.24,0,4.54,0.06,-0.98,0,335.09,1.666,-1.65,18-12-2014,21-11-2014
Kepler-1653 b,140.252515,0.002146,-0.002146,0,0.4651,,,0,1.73,0.18,-0.16,0,0.154,0.016,-0.014,0,,,,,,,,,0,,,0,1.04,0.39,-0.28,0,257,,,0,,4771,149,-130,0,0.7,0.07,-0.07,0,0.68,0.09,-0.05,0,-0.22,0.34,-0.28,0,4.59,0.05,-0.04,0,,,,18-12-2014,21-11-2014
Kepler-1653 b,140.252515,0.002146,-0.002146,0,0.4651,,,0,1.73,0.18,-0.16,0,0.154,0.016,-0.014,0,,,,,,,,,0,,,0,1.04,0.39,-0.28,0,257,,,0,,4771,149,-130,0,0.7,0.07,-0.07,0,0.68,0.09,-0.05,0,-0.22,0.34,-0.28,0,4.59,0.05,-0.04,0,,,,24-09-2015,25-08-2015
Kepler-1653 b,140.252515,0.002146,-0.002146,0,0.4651,,,0,1.73,0.18,-0.16,0,0.154,0.016,-0.014,0,,,,,,,,,0,,,0,1.04,0.39,-0.28,0,257,,,0,,4771,149,-130,0,0.7,0.07,-0.07,0,0.68,0.09,-0.05,0,-0.22,0.34,-0.28,0,4.59,0.05,-0.04,0,,,,04-12-2014,18-11-2014
